ID_пользователя,Дата_посещения_сайта,День_недели,Месяц,Наименование_событий,Наименование_страницы,Выручка,Средняя_выручка
1,2024-01-21 19:12:00,Sunday,1,view,main_page,,
1,2024-01-21 19:12:46,Sunday,1,add,recommendations,,
1,2024-01-21 19:12:51,Sunday,1,view,cart,,
1,2024-01-21 19:12:54,Sunday,1,purchase,cart,673.78,508.5220910189287
2,2024-01-05 22:55:00,Friday,1,view,search,,
3,2024-01-09 02:00:00,Tuesday,1,view,search,,
3,2024-01-05 05:02:00,Friday,1,view,main_page,,
3,2024-01-19 16:20:00,Friday,1,view,main_page,,
3,2024-01-19 16:20:51,Friday,1,click,pdp,,
3,2024-01-02 07:38:00,Tuesday,1,view,search,,
3,2024-01-18 11:00:00,Thursday,1,click,pdp,,
3,2024-01-18 11:00:16,Thursday,1,add,pdp,,
3,2024-01-18 11:00:31,Thursday,1,view,cart,,
3,2024-01-18 11:00:46,Thursday,1,purchase,cart,326.12,508.5220910189287
4,2024-01-18 01:17:00,Thursday,1,view,catalog,,
4,2024-01-18 01:17:34,Thursday,1,click,pdp,,
4,2024-01-18 01:17:49,Thursday,1,add,pdp,,
4,2024-01-20 23:04:00,Saturday,1,view,search,,
4,2024-01-20 23:04:13,Saturday,1,click,pdp,,
4,2024-01-20 23:04:32,Saturday,1,add,pdp,,
4,2024-01-20 23:04:48,Saturday,1,view,cart,,
4,2024-01-20 23:05:05,Saturday,1,purchase,cart,46.53,508.5220910189287
4,2024-01-04 23:24:00,Thursday,1,click,pdp,,
4,2024-01-04 23:24:26,Thursday,1,add,pdp,,
4,2024-01-04 23:24:31,Thursday,1,view,cart,,
4,2024-01-04 23:24:54,Thursday,1,purchase,cart,610.68,508.5220910189287
5,2024-01-26 13:33:00,Friday,1,view,main_page,,
5,2024-01-26 13:33:27,Friday,1,click,pdp,,
5,2024-01-26 13:33:49,Friday,1,add,pdp,,
5,2024-01-29 19:14:00,Monday,1,view,search,,
5,2024-01-29 19:14:14,Monday,1,click,pdp,,
5,2024-01-14 23:50:00,Sunday,1,view,catalog,,
5,2024-01-28 12:17:00,Sunday,1,view,catalog,,
5,2024-01-28 12:17:15,Sunday,1,click,pdp,,
5,2024-01-28 12:17:25,Sunday,1,add,pdp,,
5,2024-01-28 12:17:42,Sunday,1,view,cart,,
5,2024-01-28 12:18:09,Sunday,1,purchase,cart,906.26,508.5220910189287
6,2024-01-25 03:09:00,Thursday,1,view,search,,
6,2024-01-25 03:09:47,Thursday,1,click,pdp,,
6,2024-01-25 03:09:55,Thursday,1,add,pdp,,
6,2024-01-25 03:10:07,Thursday,1,view,cart,,
6,2024-01-25 03:10:45,Thursday,1,purchase,cart,910.82,508.5220910189287
7,2024-01-27 12:05:00,Saturday,1,click,pdp,,
7,2024-01-27 12:05:23,Saturday,1,add,pdp,,
7,2024-01-27 12:05:34,Saturday,1,view,cart,,
7,2024-01-27 12:06:05,Saturday,1,purchase,cart,695.75,508.5220910189287
7,2024-01-09 22:02:00,Tuesday,1,view,main_page,,
8,2024-01-11 03:14:00,Thursday,1,add,pdp,,
8,2024-01-11 03:14:02,Thursday,1,view,cart,,
8,2024-01-11 03:14:11,Thursday,1,purchase,cart,893.71,508.5220910189287
8,2024-01-12 04:05:00,Friday,1,view,catalog,,
8,2024-01-12 04:05:20,Friday,1,click,pdp,,
9,2024-01-04 12:42:00,Thursday,1,view,search,,
9,2024-01-04 12:42:56,Thursday,1,click,pdp,,
9,2024-01-04 12:42:58,Thursday,1,add,pdp,,
9,2024-01-04 12:43:00,Thursday,1,view,cart,,
9,2024-01-04 12:43:38,Thursday,1,purchase,cart,316.68,508.5220910189287
9,2024-01-11 14:23:00,Thursday,1,view,search,,
9,2024-01-28 07:10:00,Sunday,1,view,recommendations,,
10,2024-01-27 13:25:00,Saturday,1,view,search,,
10,2024-01-27 13:25:25,Saturday,1,click,pdp,,
10,2024-01-29 05:32:00,Monday,1,view,main_page,,
10,2024-01-29 05:32:25,Monday,1,click,pdp,,
10,2024-01-29 05:32:39,Monday,1,add,pdp,,
10,2024-01-29 05:32:47,Monday,1,view,cart,,
10,2024-01-29 05:32:54,Monday,1,purchase,cart,551.58,508.5220910189287
10,2024-01-19 07:41:00,Friday,1,view,main_page,,
10,2024-01-19 07:41:33,Friday,1,click,pdp,,
10,2024-01-19 07:42:02,Friday,1,add,pdp,,
10,2024-01-27 22:32:00,Saturday,1,view,search,,
10,2024-01-01 21:37:00,Monday,1,view,recommendations,,
10,2024-01-01 21:37:45,Monday,1,click,pdp,,
10,2024-01-01 21:37:53,Monday,1,add,pdp,,
10,2024-01-01 21:38:08,Monday,1,view,cart,,
